Conc1	1E-06	
Start1	480.02	
Stop1	5779.82	
Kobs	0.0160451028345501	
Error Kobs	0.000303409825786495	
Koff	0.0239410401360881	
Error Koff	0.000717833264524889	
Time1	Data1	Fit1	
570.82	0.03074609	0.03247233	
571.02	0.03068307	0.03251262	
571.22	0.03095289	0.03255279	
571.42	0.03165085	0.03259283	
571.62	0.03189246	0.03263275	
571.82	0.03257141	0.03267253	
572.02	0.03313755	0.03271219	
572.22	0.03343038	0.03275172	
572.42	0.03289148	0.03279112	
572.62	0.03345961	0.0328304	
572.82	0.03352556	0.03286955	
573.02	0.03384426	0.03290857	
573.22	0.03320307	0.03294748	
573.42	0.03276105	0.03298625	
573.62	0.03220981	0.0330249	
573.82	0.03217571	0.03306343	
574.02	0.03136709	0.03310184	
574.22	0.03025961	0.03314012	
574.42	0.03069977	0.03317828	
574.62	0.03102949	0.03321631	
574.82	0.03084987	0.03325423	
575.02	0.03140655	0.03329202	
575.22	0.03171102	0.03332969	
575.42	0.03216061	0.03336724	
575.62	0.03224139	0.03340468	
575.82	0.03225358	0.03344199	
576.02	0.03239297	0.03347918	
576.22	0.0329004	0.03351625	
576.42	0.03223532	0.03355321	
576.62	0.03227974	0.03359004	
576.82	0.03310596	0.03362676	
577.02	0.03255276	0.03366336	
577.22	0.03238891	0.03369984	
577.42	0.03351745	0.03373621	
577.62	0.03442953	0.03377246	
577.82	0.0345322	0.03380859	
578.02	0.03461736	0.03384461	
578.22	0.03513508	0.03388051	
578.42	0.03563346	0.03391629	
578.62	0.0363384	0.03395197	
578.82	0.03578058	0.03398752	
579.02	0.03520527	0.03402297	
579.22	0.03441121	0.0340583	
579.42	0.03444015	0.03409352	
579.62	0.03337583	0.03412862	
579.82	0.03291191	0.03416361	
580.02	0.03252789	0.03419849	
580.22	0.03237311	0.03423326	
580.42	0.03158692	0.03426792	
580.62	0.03157151	0.03430246	
580.82	0.03168609	0.0343369	
581.02	0.03165269	0.03437122	
581.22	0.03200342	0.03440544	
581.42	0.03265262	0.03443954	
581.62	0.03237427	0.03447354	
581.82	0.03267566	0.03450742	
582.02	0.03318206	0.0345412	
582.22	0.03308819	0.03457487	
582.42	0.03364175	0.03460843	
582.62	0.03407648	0.03464189	
582.82	0.03401878	0.03467524	
583.02	0.034091	0.03470848	
583.22	0.03417797	0.03474161	
583.42	0.03489665	0.03477464	
583.62	0.03491685	0.03480756	
583.82	0.03492468	0.03484038	
584.02	0.03478314	0.03487309	
584.22	0.03516555	0.03490569	
584.42	0.03527129	0.0349382	
584.62	0.03523683	0.03497059	
584.82	0.03518863	0.03500289	
585.02	0.03509418	0.03503508	
585.22	0.0347704	0.03506717	
585.42	0.03512875	0.03509915	
585.62	0.03477458	0.03513104	
585.82	0.03483803	0.03516282	
586.02	0.03478788	0.03519449	
586.22	0.03453434	0.03522607	
586.42	0.03477124	0.03525755	
586.62	0.03428242	0.03528892	
586.82	0.03489675	0.0353202	
587.02	0.03505518	0.03535137	
587.22	0.03522642	0.03538244	
587.42	0.0361284	0.03541342	
587.62	0.03623501	0.03544429	
587.82	0.03623813	0.03547507	
588.02	0.03622634	0.03550575	
588.22	0.03661019	0.03553633	
588.42	0.0366812	0.03556681	
588.62	0.03640554	0.03559719	
588.82	0.03614547	0.03562748	
589.02	0.03592493	0.03565767	
589.22	0.03547939	0.03568776	
589.42	0.03513013	0.03571776	
589.62	0.03399743	0.03574766	
589.82	0.0338953	0.03577747	
590.02	0.03361437	0.03580717	
590.22	0.03261473	0.03583679	
590.42	0.03236954	0.03586631	
590.62	0.03237204	0.03589573	
590.82	0.03320444	0.03592506	
591.02	0.03312154	0.0359543	
591.22	0.0332944	0.03598344	
591.42	0.03396536	0.03601249	
591.62	0.03342742	0.03604145	
591.82	0.03387622	0.03607031	
592.02	0.03394292	0.03609908	
592.22	0.03476582	0.03612776	
592.42	0.03559529	0.03615635	
592.62	0.03570826	0.03618484	
592.82	0.03593688	0.03621325	
593.02	0.03607423	0.03624156	
593.22	0.03631272	0.03626978	
593.42	0.03633938	0.03629791	
593.62	0.03594068	0.03632595	
593.82	0.03571131	0.03635391	
594.02	0.03545798	0.03638177	
594.22	0.03570299	0.03640954	
594.42	0.03614222	0.03643723	
594.62	0.03559597	0.03646482	
594.82	0.03587627	0.03649233	
595.02	0.03553332	0.03651975	
595.22	0.03504363	0.03654708	
595.42	0.03493715	0.03657432	
595.62	0.0344301	0.03660148	
595.82	0.03548513	0.03662855	
596.02	0.03583058	0.03665553	
596.22	0.03707183	0.03668243	
596.42	0.03770613	0.03670924	
596.62	0.03778814	0.03673596	
596.82	0.03787894	0.0367626	
597.02	0.03768822	0.03678915	
597.22	0.03803829	0.03681562	
597.42	0.03746059	0.036842	
597.62	0.0368249	0.0368683	
597.82	0.03623504	0.03689451	
598.02	0.03643966	0.03692064	
598.22	0.03604734	0.03694669	
598.42	0.03501578	0.03697265	
598.62	0.03471963	0.03699853	
598.82	0.03403221	0.03702433	
599.02	0.03356552	0.03705005	
599.22	0.03260215	0.03707568	
599.42	0.03274823	0.03710123	
599.62	0.03222709	0.03712669	
599.82	0.03331797	0.03715208	
600.02	0.03387979	0.03717739	
600.22	0.03430703	0.03720261	
600.42	0.03335253	0.03722775	
600.62	0.03317907	0.03725282	
600.82	0.03291981	0.0372778	
601.02	0.03289986	0.0373027	
601.22	0.03313085	0.03732752	
601.42	0.03317726	0.03735227	
601.62	0.03261754	0.03737693	
601.82	0.03253022	0.03740151	
602.02	0.03315061	0.03742602	
602.22	0.03333359	0.03745045	
602.42	0.03364936	0.0374748	
602.62	0.03377277	0.03749907	
602.82	0.03345946	0.03752326	
603.02	0.03354635	0.03754738	
603.22	0.03322209	0.03757142	
603.42	0.03357581	0.03759538	
603.62	0.03377166	0.03761926	
603.82	0.03455059	0.03764307	
604.02	0.03410284	0.0376668	
604.22	0.033942	0.03769046	
604.42	0.03353544	0.03771404	
604.62	0.03393576	0.03773754	
604.82	0.03438928	0.03776097	
605.02	0.03500551	0.03778433	
605.22	0.03499816	0.03780761	
605.42	0.03577651	0.03783081	
605.62	0.03555907	0.03785394	
605.82	0.0360147	0.037877	
606.02	0.03693425	0.03789998	
606.22	0.03727637	0.03792289	
606.42	0.03759602	0.03794572	
606.62	0.03727689	0.03796849	
606.82	0.0375573	0.03799118	
607.02	0.03721012	0.03801379	
607.22	0.03688142	0.03803634	
607.42	0.03648365	0.03805881	
607.62	0.03589691	0.03808121	
607.82	0.03630555	0.03810354	
608.02	0.03642221	0.03812579	
608.22	0.03688204	0.03814798	
608.42	0.0371704	0.03817009	
608.62	0.03787936	0.03819214	
608.82	0.03820248	0.03821411	
609.02	0.03851639	0.03823601	
609.22	0.03849547	0.03825785	
609.42	0.0395408	0.03827961	
609.62	0.03925012	0.0383013	
609.82	0.03999253	0.03832292	
610.02	0.04042941	0.03834448	
610.22	0.04018604	0.03836596	
610.42	0.03980203	0.03838738	
610.62	0.03912332	0.03840873	
610.82	0.03909048	0.03843	
611.02	0.03919221	0.03845121	
611.22	0.0381932	0.03847236	
611.42	0.03814005	0.03849343	
611.62	0.03828654	0.03851444	
611.82	0.03873854	0.03853538	
612.02	0.03809289	0.03855625	
612.22	0.03760884	0.03857706	
612.42	0.03739198	0.0385978	
612.62	0.03754984	0.03861847	
612.82	0.03755891	0.03863908	
613.02	0.03732823	0.03865962	
613.22	0.03664485	0.0386801	
613.42	0.03660921	0.03870051	
613.62	0.03674963	0.03872085	
613.82	0.0362794	0.03874113	
614.02	0.03516037	0.03876134	
614.22	0.0351679	0.03878149	
614.42	0.03462345	0.03880158	
614.62	0.03445638	0.0388216	
614.82	0.03468605	0.03884155	
615.02	0.03488325	0.03886144	
615.22	0.03435807	0.03888127	
615.42	0.03489167	0.03890104	
615.62	0.0351944	0.03892074	
615.82	0.03546953	0.03894038	
616.02	0.03555365	0.03895995	
616.22	0.03533291	0.03897947	
616.42	0.03563839	0.03899892	
616.62	0.03627966	0.0390183	
616.82	0.03675162	0.03903763	
617.02	0.03649741	0.03905689	
617.22	0.03698898	0.0390761	
617.42	0.0378623	0.03909524	
617.62	0.03864517	0.03911432	
617.82	0.03840212	0.03913334	
618.02	0.03920445	0.03915229	
618.22	0.03968303	0.03917119	
618.42	0.03906019	0.03919003	
618.62	0.03972088	0.0392088	
618.82	0.03963041	0.03922752	
619.02	0.03967108	0.03924617	
619.22	0.03980513	0.03926477	
619.42	0.03976678	0.0392833	
619.62	0.03939154	0.03930178	
619.82	0.03931907	0.0393202	
620.02	0.03852636	0.03933856	
620.22	0.03768109	0.03935686	
620.42	0.03719304	0.0393751	
620.62	0.03683182	0.03939328	
620.82	0.0363072	0.03941141	
621.02	0.0365127	0.03942947	
621.22	0.03640688	0.03944748	
621.42	0.03655091	0.03946543	
621.62	0.0371591	0.03948333	
621.82	0.03709296	0.03950116	
622.02	0.03694643	0.03951894	
622.22	0.03721609	0.03953666	
622.42	0.03789054	0.03955433	
622.62	0.0387814	0.03957194	
622.82	0.03939279	0.03958949	
623.02	0.04015354	0.03960698	
623.22	0.04032525	0.03962442	
623.42	0.03964307	0.03964181	
623.62	0.0391033	0.03965914	
623.82	0.0392865	0.03967641	
624.02	0.03932888	0.03969363	
624.22	0.03893867	0.03971079	
624.42	0.03821412	0.0397279	
624.62	0.03800914	0.03974495	
624.82	0.03780679	0.03976195	
625.02	0.03749453	0.03977889	
625.22	0.03628734	0.03979578	
625.42	0.03659153	0.03981261	
625.62	0.03641892	0.03982939	
625.82	0.03559283	0.03984612	
626.02	0.03527936	0.0398628	
626.22	0.03566357	0.03987942	
626.42	0.03560242	0.03989598	
626.62	0.03566052	0.0399125	
626.82	0.03589953	0.03992896	
627.02	0.03532659	0.03994537	
627.22	0.035246	0.03996172	
627.42	0.03466167	0.03997803	
627.62	0.03477968	0.03999428	
627.82	0.0357555	0.04001048	
628.02	0.03638711	0.04002662	
628.22	0.03633588	0.04004272	
628.42	0.0361972	0.04005876	
628.62	0.03673542	0.04007475	
628.82	0.03619741	0.0400907	
629.02	0.03541443	0.04010659	
629.22	0.03562782	0.04012242	
629.42	0.03602512	0.04013821	
629.62	0.03623227	0.04015395	
629.82	0.03658547	0.04016964	
630.02	0.03639773	0.04018528	
630.22	0.03648767	0.04020086	
630.42	0.03642819	0.0402164	
630.62	0.03667408	0.04023189	
630.82	0.03596223	0.04024732	
631.02	0.03596379	0.04026271	
631.22	0.03667493	0.04027805	
631.42	0.03653453	0.04029334	
631.62	0.0373906	0.04030858	
631.82	0.03837779	0.04032377	
632.02	0.03829438	0.04033892	
632.22	0.03814993	0.04035401	
632.42	0.03832035	0.04036906	
632.62	0.03778547	0.04038406	
632.82	0.03706205	0.04039901	
633.02	0.03733996	0.04041391	
633.22	0.03731445	0.04042876	
633.42	0.03750701	0.04044357	
633.62	0.03819426	0.04045833	
633.82	0.03878244	0.04047304	
634.02	0.03791171	0.04048771	
634.22	0.03769076	0.04050233	
634.42	0.03736225	0.0405169	
634.62	0.03731548	0.04053142	
634.82	0.03681421	0.0405459	
635.02	0.03731873	0.04056033	
635.22	0.03787403	0.04057472	
635.42	0.03849195	0.04058906	
635.62	0.03913434	0.04060335	
635.82	0.03919481	0.0406176	
636.02	0.03916891	0.0406318	
636.22	0.03922805	0.04064596	
636.42	0.03869849	0.04066007	
636.62	0.03809321	0.04067413	
636.82	0.03847107	0.04068815	
637.02	0.03848796	0.04070213	
637.22	0.03907318	0.04071606	
637.42	0.03991204	0.04072995	
637.62	0.04009514	0.04074379	
637.82	0.04024466	0.04075759	
638.02	0.03911579	0.04077134	
