Conc1	1.111E-07	
Start1	480.02	
Stop1	5779.82	
Kobs		
Error Kobs		
Koff		
Error Koff		
Time1	Data1	Fit1	
698.62	0.00999415		
698.82	0.01046831		
699.02	0.01085725		
699.22	0.01114193		
699.42	0.01108225		
699.62	0.01072275		
699.82	0.00988458		
700.02	0.00973047		
700.22	0.00988635		
700.42	0.00917647		
700.62	0.00862625		
700.82	0.00895566		
701.02	0.00819541		
701.22	0.0087722		
701.42	0.00877287		
701.62	0.0088133		
701.82	0.00945509		
702.02	0.01001464		
702.22	0.01045179		
702.42	0.01079152		
702.62	0.01150414		
702.82	0.01124161		
703.02	0.01231803		
703.22	0.01355531		
703.42	0.01326889		
703.62	0.01347413		
703.82	0.01314189		
704.02	0.01332114		
704.22	0.01307887		
704.42	0.0126023		
704.62	0.01188571		
704.82	0.01156148		
705.02	0.01112569		
705.22	0.01075614		
705.42	0.01060044		
705.62	0.01108988		
705.82	0.01140227		
706.02	0.01116385		
706.22	0.01155746		
706.42	0.01191991		
706.62	0.01241574		
706.82	0.01263621		
707.02	0.01346808		
707.22	0.01369011		
707.42	0.01374917		
707.62	0.01420728		
707.82	0.01395465		
708.02	0.01426271		
708.22	0.01380783		
708.42	0.01366626		
708.62	0.01329688		
708.82	0.01312587		
709.02	0.01216229		
709.22	0.01216665		
709.42	0.01216097		
709.62	0.01184081		
709.82	0.01148532		
710.02	0.01158213		
710.22	0.01100865		
710.42	0.01165653		
710.62	0.0122047		
710.82	0.01204064		
711.02	0.01202735		
711.22	0.0123259		
711.42	0.01286025		
711.62	0.01309421		
711.82	0.01321502		
712.02	0.01377678		
712.22	0.01331072		
712.42	0.0137956		
712.62	0.01316039		
712.82	0.01302558		
713.02	0.01260541		
713.22	0.01274503		
713.42	0.0118452		
713.62	0.01198965		
713.82	0.01247919		
714.02	0.01271074		
714.22	0.01289273		
714.42	0.01387981		
714.62	0.01374606		
714.82	0.01395638		
715.02	0.01431389		
715.22	0.01480642		
715.42	0.01520664		
715.62	0.0153365		
715.82	0.01499927		
716.02	0.01503528		
716.22	0.01451473		
716.42	0.01419969		
716.62	0.01297247		
716.82	0.01309947		
717.02	0.01213789		
717.22	0.01119531		
717.42	0.01046064		
717.62	0.00993605		
717.82	0.0101202		
718.02	0.00995735		
718.22	0.00990844		
718.42	0.00987342		
718.62	0.0106592		
718.82	0.01184119		
719.02	0.01159982		
719.22	0.0117548		
719.42	0.01184599		
719.62	0.01184916		
719.82	0.01208182		
720.02	0.01315053		
720.22	0.01268816		
720.42	0.01293115		
720.62	0.01272393		
720.82	0.01276094		
721.02	0.01229887		
721.22	0.01182522		
721.42	0.01152643		
721.62	0.01152723		
721.82	0.01214027		
722.02	0.01196261		
722.22	0.01162995		
722.42	0.01195888		
722.62	0.01246581		
722.82	0.01226894		
723.02	0.01149652		
723.22	0.01162704		
723.42	0.01144424		
723.62	0.01207024		
723.82	0.01308354		
724.02	0.01322736		
724.22	0.01300339		
724.42	0.01335034		
724.62	0.01345844		
724.82	0.01367916		
725.02	0.01372797		
725.22	0.01358705		
725.42	0.01306209		
725.62	0.01334522		
725.82	0.01289635		
726.02	0.01259037		
726.22	0.0119422		
726.42	0.01162126		
726.62	0.01096353		
726.82	0.01104297		
727.02	0.01070956		
727.22	0.01096398		
727.42	0.01106791		
727.62	0.01177518		
727.82	0.01180739		
728.02	0.01178828		
728.22	0.01182648		
728.42	0.01209863		
728.62	0.01278704		
728.82	0.01323342		
729.02	0.0129003		
729.22	0.01273997		
