Conc1	3E-06	
Start1	480.02	
Stop1	5779.82	
Kobs	0.0244122055182017	
Error Kobs	0.000543305785284273	
Koff	0.013539325110722	
Error Koff	0.00013834575812609	
Time1	Data1	Fit1	
561.82	0.16080966	0.16607222	
562.02	0.1610113	0.16615588	
562.22	0.16163375	0.16623914	
562.42	0.16186565	0.16632199	
562.62	0.16209122	0.16640444	
562.82	0.16245266	0.16648649	
563.02	0.16221702	0.16656814	
563.22	0.16245644	0.16664939	
563.42	0.16209332	0.16673024	
563.62	0.16188449	0.16681071	
563.82	0.16229755	0.16689077	
564.02	0.1612219	0.16697045	
564.22	0.1610875	0.16704974	
564.42	0.16119108	0.16712865	
564.62	0.16103251	0.16720717	
564.82	0.16114505	0.16728531	
565.02	0.16105867	0.16736307	
565.22	0.16100959	0.16744045	
565.42	0.16151269	0.16751745	
565.62	0.16220644	0.16759407	
565.82	0.16208742	0.16767033	
566.02	0.16205687	0.16774621	
566.22	0.16214576	0.16782172	
566.42	0.16137323	0.16789687	
566.62	0.16138365	0.16797165	
566.82	0.16112191	0.16804606	
567.02	0.16063651	0.16812011	
567.22	0.16033387	0.16819381	
567.42	0.16031031	0.16826714	
567.62	0.16009078	0.16834011	
567.82	0.16084319	0.16841274	
568.02	0.16034662	0.168485	
568.22	0.16080369	0.16855692	
568.42	0.1607777	0.16862848	
568.62	0.16102198	0.1686997	
568.82	0.16139437	0.16877056	
569.02	0.1615722	0.16884109	
569.22	0.16203641	0.16891127	
569.42	0.16268791	0.16898111	
569.62	0.16313325	0.16905061	
569.82	0.1636323	0.16911976	
570.02	0.16412445	0.16918859	
570.22	0.16391315	0.16925708	
570.42	0.16364624	0.16932523	
570.62	0.16355917	0.16939305	
570.82	0.16311744	0.16946054	
571.02	0.16332081	0.16952771	
571.22	0.16337354	0.16959454	
571.42	0.16376839	0.16966105	
571.62	0.16387354	0.16972724	
571.82	0.16409432	0.1697931	
572.02	0.16354251	0.16985865	
572.22	0.16355384	0.16992387	
572.42	0.16286276	0.16998878	
572.62	0.16263045	0.17005337	
572.82	0.16211942	0.17011764	
573.02	0.16247076	0.17018161	
573.22	0.16211496	0.17024526	
573.42	0.1624045	0.1703086	
573.62	0.16207199	0.17037163	
573.82	0.16212708	0.17043436	
574.02	0.16218914	0.17049678	
574.22	0.16185348	0.17055889	
574.42	0.16142071	0.17062071	
574.62	0.16066324	0.17068222	
574.82	0.1609174	0.17074343	
575.02	0.16099651	0.17080435	
575.22	0.16077541	0.17086496	
575.42	0.16142192	0.17092529	
575.62	0.16213745	0.17098532	
575.82	0.1619915	0.17104505	
576.02	0.16207495	0.1711045	
576.22	0.1625344	0.17116365	
576.42	0.16241844	0.17122252	
576.62	0.16244146	0.1712811	
576.82	0.16237188	0.1713394	
577.02	0.16304879	0.17139741	
577.22	0.16272553	0.17145514	
577.42	0.1628522	0.17151259	
577.62	0.16278403	0.17156976	
577.82	0.16371931	0.17162665	
578.02	0.16420906	0.17168326	
578.22	0.16429307	0.1717396	
578.42	0.16323726	0.17179566	
578.62	0.16291023	0.17185145	
578.82	0.16333406	0.17190697	
579.02	0.1633632	0.17196222	
579.22	0.16352397	0.1720172	
579.42	0.16336199	0.17207191	
579.62	0.16320874	0.17212635	
579.82	0.16291698	0.17218053	
580.02	0.16303235	0.17223445	
580.22	0.16309574	0.1722881	
580.42	0.16295327	0.17234149	
580.62	0.16243478	0.17239462	
580.82	0.16302058	0.17244749	
581.02	0.16307815	0.17250011	
581.22	0.16286025	0.17255247	
581.42	0.16255047	0.17260457	
581.62	0.16247394	0.17265642	
581.82	0.1628918	0.17270802	
582.02	0.1628372	0.17275936	
582.22	0.16329559	0.17281046	
582.42	0.16349667	0.17286131	
582.62	0.16379186	0.17291191	
582.82	0.16434683	0.17296226	
583.02	0.16403804	0.17301237	
583.22	0.16362845	0.17306223	
583.42	0.16335298	0.17311185	
583.62	0.1631818	0.17316123	
583.82	0.16335767	0.17321037	
584.02	0.16337335	0.17325927	
584.22	0.16371628	0.17330793	
584.42	0.16367203	0.17335636	
584.62	0.16379542	0.17340454	
584.82	0.16418033	0.1734525	
585.02	0.16327738	0.17350022	
585.22	0.16286047	0.17354771	
585.42	0.16290198	0.17359496	
585.62	0.1629783	0.17364199	
585.82	0.16308875	0.17368879	
586.02	0.16335005	0.17373535	
586.22	0.1640071	0.1737817	
586.42	0.16457187	0.17382781	
586.62	0.16422105	0.17387371	
586.82	0.16507578	0.17391937	
587.02	0.16490537	0.17396482	
587.22	0.16494803	0.17401005	
587.42	0.16530695	0.17405505	
587.62	0.16490486	0.17409984	
587.82	0.16552967	0.1741444	
588.02	0.16610009	0.17418875	
588.22	0.1659657	0.17423289	
588.42	0.1658044	0.17427681	
588.62	0.16601367	0.17432051	
588.82	0.16567188	0.174364	
589.02	0.16553458	0.17440728	
589.22	0.16509569	0.17445035	
589.42	0.16516385	0.17449321	
589.62	0.16504962	0.17453587	
589.82	0.16457769	0.17457831	
590.02	0.16470126	0.17462055	
590.22	0.16539108	0.17466258	
590.42	0.16546828	0.1747044	
590.62	0.16562726	0.17474603	
590.82	0.16618508	0.17478745	
591.02	0.16600882	0.17482866	
591.22	0.16651567	0.17486968	
591.42	0.1667273	0.1749105	
591.62	0.16669539	0.17495112	
591.82	0.16692721	0.17499154	
592.02	0.1665237	0.17503176	
592.22	0.16600605	0.17507179	
592.42	0.16571334	0.17511162	
592.62	0.16576672	0.17515126	
592.82	0.16600662	0.17519071	
593.02	0.16609505	0.17522996	
593.22	0.16541291	0.17526903	
593.42	0.16537417	0.1753079	
593.62	0.16592076	0.17534658	
593.82	0.16592911	0.17538508	
594.02	0.16628183	0.17542338	
594.22	0.16679241	0.17546151	
594.42	0.16627678	0.17549944	
594.62	0.16656392	0.17553719	
594.82	0.16658625	0.17557476	
595.02	0.1666672	0.17561214	
595.22	0.16642577	0.17564934	
595.42	0.16621132	0.17568636	
595.62	0.16612175	0.1757232	
595.82	0.16564628	0.17575986	
596.02	0.16561277	0.17579635	
596.22	0.16605768	0.17583265	
596.42	0.16569536	0.17586878	
596.62	0.16668258	0.17590473	
596.82	0.16724419	0.17594051	
597.02	0.16722362	0.17597611	
597.22	0.16709006	0.17601154	
597.42	0.1671904	0.17604679	
597.62	0.16791018	0.17608188	
597.82	0.16807385	0.17611679	
598.02	0.16771447	0.17615153	
598.22	0.16696587	0.17618611	
598.42	0.16613531	0.17622051	
598.62	0.16640982	0.17625475	
598.82	0.16606465	0.17628882	
599.02	0.16579082	0.17632273	
599.22	0.16525464	0.17635647	
599.42	0.16537547	0.17639005	
599.62	0.16522663	0.17642346	
599.82	0.16563831	0.17645671	
600.02	0.16604344	0.1764898	
600.22	0.16588918	0.17652272	
600.42	0.16587311	0.17655549	
600.62	0.16659657	0.1765881	
600.82	0.16700511	0.17662055	
601.02	0.16767309	0.17665284	
601.22	0.16739584	0.17668497	
601.42	0.16755416	0.17671694	
601.62	0.16769745	0.17674877	
601.82	0.1672686	0.17678043	
602.02	0.16689153	0.17681194	
602.22	0.1669526	0.1768433	
602.42	0.16679599	0.1768745	
602.62	0.16721332	0.17690556	
602.82	0.16735612	0.17693646	
603.02	0.16789063	0.17696721	
603.22	0.16743594	0.17699781	
603.42	0.16760441	0.17702826	
603.62	0.16722163	0.17705857	
603.82	0.16697224	0.17708873	
604.02	0.16683863	0.17711874	
604.22	0.16673951	0.1771486	
604.42	0.16697765	0.17717832	
604.62	0.16672113	0.17720789	
604.82	0.16698823	0.17723732	
605.02	0.16758125	0.17726661	
605.22	0.16734799	0.17729575	
605.42	0.16816402	0.17732475	
605.62	0.16837348	0.17735361	
605.82	0.16865935	0.17738233	
606.02	0.16935994	0.17741091	
606.22	0.16986315	0.17743935	
606.42	0.17019447	0.17746765	
606.62	0.17111356	0.17749582	
606.82	0.17175736	0.17752384	
607.02	0.17219077	0.17755173	
607.22	0.17141182	0.17757949	
607.42	0.1708649	0.17760711	
607.62	0.1699315	0.17763459	
607.82	0.16959581	0.17766194	
608.02	0.16922581	0.17768916	
608.22	0.1690124	0.17771625	
608.42	0.16834463	0.1777432	
608.62	0.16804788	0.17777002	
608.82	0.16802497	0.17779671	
609.02	0.16817377	0.17782328	
609.22	0.16823633	0.17784971	
609.42	0.16818409	0.17787601	
609.62	0.16808372	0.17790219	
609.82	0.16853378	0.17792823	
610.02	0.16878378	0.17795415	
610.22	0.16870468	0.17797995	
610.42	0.16980894	0.17800562	
610.62	0.16977687	0.17803116	
610.82	0.1702488	0.17805658	
611.02	0.17067322	0.17808188	
611.22	0.17017017	0.17810705	
611.42	0.16989431	0.1781321	
611.62	0.17008747	0.17815703	
611.82	0.16925202	0.17818183	
612.02	0.16933402	0.17820652	
612.22	0.16914845	0.17823109	
612.42	0.16871958	0.17825553	
612.62	0.16847244	0.17827986	
612.82	0.16825327	0.17830407	
613.02	0.16793516	0.17832816	
613.22	0.16824582	0.17835213	
613.42	0.16806657	0.17837599	
