	Sensor	Step Name	Step Type	Time (sec)	Binding (nm)	subtracted
16636	H1	Baseline	BASELINE	127.997	0.02364909	-0.0034795789644249454
16637	H1	Baseline	BASELINE	128.496	0.025956681	-0.0045542227700479995
16638	H1	Baseline	BASELINE	128.995	0.025216596	-0.004692952580762721
16639	H1	Baseline	BASELINE	129.495	0.028322218	0.002944937475012921
16640	H1	Baseline	BASELINE	129.994	0.021124257	-0.007213912405086375
16641	H1	Baseline	BASELINE	130.49301	0.025273	-0.002063784249139644
16642	H1	Baseline	BASELINE	130.992	0.026982544	8.985636382021758e-05
16643	H1	Baseline	BASELINE	131.491	0.021313144	-0.005953559152794696
16644	H1	Baseline	BASELINE	131.991	0.029273871	0.0010735043659678921
16645	H1	Baseline	BASELINE	132.48999	0.02317045	-0.005707594998193599
16646	H1	Baseline	BASELINE	133.005	0.024185872	-0.0032295859083660617
16647	H1	Baseline	BASELINE	133.488	0.02492797	-0.002691056080175258
16648	H1	Baseline	BASELINE	134.00299	0.021760935	-0.006399791188550807
16649	H1	Baseline	BASELINE	134.502	0.02509895	-0.004126766197396136
16650	H1	Baseline	BASELINE	135.001	0.021134622	-0.0065167112872131835
16651	H1	Baseline	BASELINE	135.501	0.026693167	-0.0014470065608747974
16652	H1	Baseline	BASELINE	136.0	0.028356764	-0.00013994934411130098
16653	H1	Baseline	BASELINE	136.499	0.02209433	-0.007891766227794505
16654	H1	Baseline	BASELINE	136.998	0.025653547	-0.003558322288108684
16655	H1	Baseline	BASELINE	137.49701	0.024459066	-0.006085566677165843
16656	H1	Baseline	BASELINE	137.996	0.022179496	-0.005584012217832423
16657	H1	Baseline	BASELINE	138.496	0.030779172	0.0041180351152888765
16658	H1	Baseline	BASELINE	138.995	0.022237675	-0.006579763688159801
16659	H1	Baseline	BASELINE	139.494	0.025729934	-0.0009566857144363895
16660	H1	Baseline	BASELINE	139.99301	0.027862199	-0.0011208853349216953
16661	H1	Baseline	BASELINE	140.492	0.022504734	-0.003800162546349384
16662	H1	Baseline	BASELINE	140.992	0.0270214	-0.0006975414827593341
16663	H1	Baseline	BASELINE	141.491	0.021590948	-0.006802303217364169
16664	H1	Baseline	BASELINE	141.98999	0.02529488	-0.0038469019010790363
16665	H1	Baseline	BASELINE	142.489	0.024987636	-0.005148246385169841
16666	H1	Baseline	BASELINE	142.989	0.020538766	-0.0096786333844193
16667	H1	Baseline	BASELINE	143.50299	0.02849822	0.0015913923606149182
16668	H1	Baseline	BASELINE	144.002	0.02352828	-0.003895628698182918
16669	H1	Baseline	BASELINE	144.502	0.020001573	-0.005916309975100375
16670	H1	Baseline	BASELINE	145.001	0.029963953	0.0002611694261304364
16671	H1	Baseline	BASELINE	145.5	0.019850686	-0.007632875315857745
16672	H1	Baseline	BASELINE	145.999	0.023120265	-0.005736847840262271
16673	H1	Baseline	BASELINE	146.498	0.027220126	0.0015350305810443387
16674	H1	Baseline	BASELINE	146.998	0.02280688	-0.004338038586092807
16675	H1	Baseline	BASELINE	147.49701	0.027750935	0.0006804024204484448
16676	H1	Baseline	BASELINE	147.996	0.019809272	-0.006110572688294269
16677	H1	Baseline	BASELINE	148.495	0.02502982	-0.003835262231541492
16678	H1	Baseline	BASELINE	148.994	0.027571967	-0.0008483673110731616
16679	H1	Baseline	BASELINE	149.494	0.021252887	-0.006424024201942302
16680	H1	Loading	LOADING	149.994	-0.0042660646	-0.047808302067232945
16681	H1	Loading	LOADING	150.493	-0.006970708	-0.04727150682733736
16682	H1	Loading	LOADING	150.992	-0.0053005875	-0.04649022218213759
16683	H1	Loading	LOADING	151.491	-0.0048798337	-0.050273838419479945
16684	H1	Loading	LOADING	151.991	-0.00028968178	-0.041877870356211135
16685	H1	Loading	LOADING	152.49	-0.0038982397	-0.04764271198214374
16686	H1	Loading	LOADING	152.989	-0.0030448933	-0.042207213783649423
16687	H1	Loading	LOADING	153.488	-0.00019000043	-0.04192118427740752
16688	H1	Loading	LOADING	153.987	-0.004665457	-0.046415122192365744
16689	H1	Loading	LOADING	154.487	-0.00161281	-0.04606844760851345
16690	H1	Loading	LOADING	154.98601	0.001986984	-0.045884081827489355
16691	H1	Loading	LOADING	155.485	-0.003775275	-0.04952735101246617
16692	H1	Loading	LOADING	156.0	-0.00059530593	-0.047552856001084366
16693	H1	Loading	LOADING	156.483	-0.00027652894	-0.04844148657425649
16694	H1	Loading	LOADING	156.998	-0.005212949	-0.05184553467111073
16695	H1	Loading	LOADING	157.49701	-0.00017687127	-0.04688410790836315
16696	H1	Loading	LOADING	157.996	-0.0031821711	-0.0524204258937516
16697	H1	Loading	LOADING	158.496	4.2503496e-05	-0.04587364912290468
16698	H1	Loading	LOADING	158.99501	0.0011760823	-0.0477129004094877
16699	H1	Loading	LOADING	159.494	-0.0029511934	-0.05241708198004744
16700	H1	Loading	LOADING	159.993	0.002361453	-0.04692431419530294
16701	H1	Loading	LOADING	160.493	-0.0023589344	-0.05218024175987921
16702	H1	Loading	LOADING	160.992	0.0018931143	-0.049381413929177144
16703	H1	Loading	LOADING	161.491	0.0009216625	-0.05311374170846648
16704	H1	Loading	LOADING	161.99	0.0005150436	-0.05082454307844273
16705	H1	Loading	LOADING	162.489	0.003013855	-0.05099569560402415
16706	H1	Loading	LOADING	162.988	-0.0029775212	-0.057375288069260934
16707	H1	Loading	LOADING	163.488	0.0014360925	-0.0531777821844571
16708	H1	Loading	LOADING	163.987	-0.0001277039	-0.05081422112848486
16709	H1	Loading	LOADING	164.48601	-0.0013741286	-0.05705163333473138
16710	H1	Loading	LOADING	164.985	0.0007599516	-0.055446883338981935
16711	H1	Loading	LOADING	165.48401	0.00018337324	-0.05434170174262363
16712	H1	Loading	LOADING	165.99901	-3.1602412e-05	-0.055903757266742106
16713	H1	Loading	LOADING	166.498	0.00066488277	-0.05962380117412067
16714	H1	Loading	LOADING	166.998	-0.0012638511	-0.05675654412621043
16715	H1	Loading	LOADING	167.49701	0.0010236771	-0.057320647490223565
16716	H1	Loading	LOADING	167.996	0.002419	-0.05413269248233519
16717	H1	Loading	LOADING	168.495	-0.0016286668	-0.05875827473496429
16718	H1	Loading	LOADING	168.994	0.0015617547	-0.056795656763961234
16719	H1	Loading	LOADING	169.494	0.00018596106	-0.060589260693768666
16720	H1	Loading	LOADING	169.99301	0.0022110292	-0.057050458122057536
16721	H1	Loading	LOADING	170.492	-0.0013200761	-0.06359723055643371
16722	H1	Loading	LOADING	170.991	-0.00099255	-0.06175792213903151
16723	H1	Loading	LOADING	171.49	0.0027125054	-0.06107360773162327
16724	H1	Loading	LOADING	171.99	0.0012331473	-0.060713804875513235
16725	H1	Loading	LOADING	172.489	0.003380444	-0.06148522111029706
16726	H1	Loading	LOADING	172.988	0.001149506	-0.06421732235608033
16727	H1	Loading	LOADING	173.487	0.0037112457	-0.060441860662785986
16728	H1	Loading	LOADING	173.98601	0.0015533209	-0.06585596486834219
16729	H1	Loading	LOADING	174.48601	-0.00030249427	-0.06490723994934341
16730	H1	Loading	LOADING	174.985	0.0011027267	-0.06454551752099177
16731	H1	Loading	LOADING	175.5	0.0008913536	-0.06486683882681063
16732	H1	Loading	LOADING	175.983	0.0020067652	-0.06452595229634425
16733	H1	Loading	LOADING	176.498	0.0015669322	-0.06830975491461685
16734	H1	Loading	LOADING	176.99701	0.0013724668	-0.06567340201140723
16735	H1	Loading	LOADING	177.496	0.0010564314	-0.06616822894570759
16736	H1	Loading	LOADING	177.996	0.0023494698	-0.06877112152428708
16737	H1	Loading	LOADING	178.495	-0.00019495485	-0.06922078564380171
16738	H1	Loading	LOADING	178.994	0.0018249768	-0.06731235942711464
16739	H1	Loading	LOADING	179.49301	0.0026267073	-0.06956708055363378
16740	H1	Loading	LOADING	179.992	0.001088418	-0.0696093678372108
16741	H1	Loading	LOADING	180.491	0.0032034009	-0.07340976592527113
16742	H1	Loading	LOADING	180.991	0.0012221137	-0.07232312004921368
16743	H1	Loading	LOADING	181.49	0.0036348957	-0.06971257735417566
16744	H1	Loading	LOADING	181.989	0.004614037	-0.06883311733977279
16745	H1	Loading	LOADING	182.488	0.002320443	-0.07534595272877595
16746	H1	Loading	LOADING	182.987	0.003670179	-0.07102862066963098
16747	H1	Loading	LOADING	183.487	0.0031670204	-0.0730377204846718
16748	H1	Loading	LOADING	183.98601	0.0021572926	-0.07153123823368332
16749	H1	Loading	LOADING	184.485	0.004208169	-0.07338950267435393
